Domain,Area,Element,Months,Year,Unit,Value
"Temperature change","Austria","Temperature change","April","2010","°C","1.366"
"Temperature change","Austria","Temperature change","April","2011","°C","3.639"
"Temperature change","Austria","Temperature change","April","2012","°C","1.424"
"Temperature change","Austria","Temperature change","April","2013","°C","1.973"
"Temperature change","Austria","Temperature change","May","2000","°C","2.955"
"Temperature change","Austria","Temperature change","May","2001","°C","3.178"
"Temperature change","Austria","Temperature change","May","2002","°C","2.714"
"Temperature change","Austria","Temperature change","May","2003","°C","3.558"
"Temperature change","Austria","Temperature change","May","2004","°C","-0.428"
"Temperature change","Austria","Temperature change","May","2005","°C","1.712"
"Temperature change","Austria","Temperature change","May","2006","°C","1.016"
"Temperature change","Austria","Temperature change","May","2007","°C","2.669"
"Temperature change","Austria","Temperature change","May","2008","°C","2.358"
"Temperature change","Austria","Temperature change","May","2009","°C","2.792"
"Temperature change","Austria","Temperature change","May","2010","°C","0.529"
"Temperature change","Austria","Temperature change","May","2011","°C","2.039"
"Temperature change","Austria","Temperature change","May","2012","°C","2.21"
"Temperature change","Austria","Temperature change","May","2013","°C","0.513"
"Temperature change","Austria","Temperature change","June","2000","°C","2.374"
"Temperature change","Austria","Temperature change","June","2001","°C","-0.33"
"Temperature change","Austria","Temperature change","June","2002","°C","2.941"
"Temperature change","Austria","Temperature change","June","2003","°C","5.174"
"Temperature change","Austria","Temperature change","June","2004","°C","0.448"
"Temperature change","Austria","Temperature change","June","2005","°C","1.607"
"Temperature change","Austria","Temperature change","June","2006","°C","1.63"
"Temperature change","Austria","Temperature change","June","2007","°C","2.762"
"Temperature change","Austria","Temperature change","June","2008","°C","2.374"
"Temperature change","Austria","Temperature change","June","2009","°C","0.439"
"Temperature change","Austria","Temperature change","June","2010","°C","1.496"
"Temperature change","Austria","Temperature change","June","2011","°C","1.74"
"Temperature change","Austria","Temperature change","June","2012","°C","2.569"
"Temperature change","Austria","Temperature change","June","2013","°C","0.967"
"Temperature change","Austria","Temperature change","July","2000","°C","-0.59"
"Temperature change","Austria","Temperature change","July","2001","°C","1.549"
"Temperature change","Austria","Temperature change","July","2002","°C","1.759"
"Temperature change","Austria","Temperature change","July","2003","°C","2.427"
"Temperature change","Austria","Temperature change","July","2004","°C","0.782"
"Temperature change","Austria","Temperature change","July","2005","°C","1.249"
"Temperature change","Austria","Temperature change","July","2006","°C","4.145"
"Temperature change","Austria","Temperature change","July","2007","°C","1.891"
"Temperature change","Austria","Temperature change","July","2008","°C","1.263"
"Temperature change","Austria","Temperature change","July","2009","°C","1.754"
"Temperature change","Austria","Temperature change","July","2010","°C","3.067"
"Temperature change","Austria","Temperature change","July","2011","°C","0.192"
"Temperature change","Austria","Temperature change","July","2012","°C","2.155"
"Temperature change","Austria","Temperature change","July","2013","°C","3.221"
"Temperature change","Austria","Temperature change","August","2000","°C","2.534"
"Temperature change","Austria","Temperature change","August","2001","°C","2.81"
"Temperature change","Austria","Temperature change","August","2002","°C","1.587"
"Temperature change","Austria","Temperature change","August","2003","°C","5.042"
"Temperature change","Austria","Temperature change","August","2004","°C","1.877"
"Temperature change","Austria","Temperature change","August","2005","°C","-0.382"
"Temperature change","Austria","Temperature change","August","2006","°C","-1.108"
"Temperature change","Austria","Temperature change","August","2007","°C","1.144"
"Temperature change","Austria","Temperature change","August","2008","°C","1.592"
"Temperature change","Austria","Temperature change","August","2009","°C","2.741"
"Temperature change","Austria","Temperature change","August","2010","°C","0.881"
"Temperature change","Austria","Temperature change","August","2011","°C","2.733"
"Temperature change","Austria","Temperature change","August","2012","°C","3.024"
"Temperature change","Austria","Temperature change","August","2013","°C","2.454"
"Temperature change","Austria","Temperature change","September","2000","°C","0.641"
"Temperature change","Austria","Temperature change","September","2001","°C","-1.844"
"Temperature change","Austria","Temperature change","September","2002","°C","-0.73"
"Temperature change","Austria","Temperature change","September","2003","°C","0.323"
"Temperature change","Austria","Temperature change","September","2004","°C","0.484"
"Temperature change","Austria","Temperature change","September","2005","°C","1.365"
"Temperature change","Austria","Temperature change","September","2006","°C","2.69"
"Temperature change","Austria","Temperature change","September","2007","°C","-1.196"
"Temperature change","Austria","Temperature change","September","2008","°C","-0.645"
"Temperature change","Austria","Temperature change","September","2009","°C","2.052"
"Temperature change","Austria","Temperature change","September","2010","°C","-0.848"
"Temperature change","Austria","Temperature change","September","2011","°C","2.866"
"Temperature change","Austria","Temperature change","September","2012","°C","1.194"
"Temperature change","Austria","Temperature change","September","2013","°C","0.315"
"Temperature change","Austria","Temperature change","October","2000","°C","2.447"
"Temperature change","Austria","Temperature change","October","2001","°C","3.856"
"Temperature change","Austria","Temperature change","October","2002","°C","0.271"
"Temperature change","Austria","Temperature change","October","2003","°C","-2.08"
"Temperature change","Austria","Temperature change","October","2004","°C","2.252"
"Temperature change","Austria","Temperature change","October","2005","°C","1.562"
"Temperature change","Austria","Temperature change","October","2006","°C","3.062"
"Temperature change","Austria","Temperature change","October","2007","°C","-0.218"
"Temperature change","Austria","Temperature change","October","2008","°C","1.292"
"Temperature change","Austria","Temperature change","October","2009","°C","0.261"
"Temperature change","Austria","Temperature change","October","2010","°C","-0.946"
"Temperature change","Austria","Temperature change","October","2011","°C","0.329"
"Temperature change","Austria","Temperature change","October","2012","°C","0.813"
"Temperature change","Austria","Temperature change","October","2013","°C","2.015"
"Temperature change","Austria","Temperature change","November","2000","°C","2.558"
"Temperature change","Austria","Temperature change","November","2001","°C","-0.843"
"Temperature change","Austria","Temperature change","November","2002","°C","3.012"
"Temperature change","Austria","Temperature change","November","2003","°C","2.228"
"Temperature change","Austria","Temperature change","November","2004","°C","0.644"
"Temperature change","Austria","Temperature change","November","2005","°C","-0.447"
"Temperature change","Austria","Temperature change","November","2006","°C","2.641"
"Temperature change","Austria","Temperature change","November","2007","°C","-0.808"
"Temperature change","Austria","Temperature change","November","2008","°C","1.479"
"Temperature change","Austria","Temperature change","November","2009","°C","2.559"
"Temperature change","Austria","Temperature change","November","2010","°C","2.022"
"Temperature change","Austria","Temperature change","November","2011","°C","0.439"
"Temperature change","Austria","Temperature change","November","2012","°C","2.512"
"Temperature change","Austria","Temperature change","November","2013","°C","1.134"
"Temperature change","Austria","Temperature change","December","2000","°C","2.58"
"Temperature change","Austria","Temperature change","December","2001","°C","-2.33"
"Temperature change","Austria","Temperature change","December","2002","°C","0.942"
"Temperature change","Austria","Temperature change","December","2003","°C","0.973"
"Temperature change","Austria","Temperature change","December","2004","°C","0.668"
"Temperature change","Austria","Temperature change","December","2005","°C","-0.677"
"Temperature change","Austria","Temperature change","December","2006","°C","2.835"
"Temperature change","Austria","Temperature change","December","2007","°C","0.051"
"Temperature change","Austria","Temperature change","December","2008","°C","1.364"
"Temperature change","Austria","Temperature change","December","2009","°C","0.529"
"Temperature change","Austria","Temperature change","December","2010","°C","-1.93"
"Temperature change","Austria","Temperature change","December","2011","°C","2.636"
"Temperature change","Austria","Temperature change","December","2012","°C","0.448"
"Temperature change","Austria","Temperature change","December","2013","°C","2.499"
"Temperature change","Belgium","Temperature change","January","2000","°C","1.596"
"Temperature change","Belgium","Temperature change","January","2001","°C","1.311"
"Temperature change","Belgium","Temperature change","January","2002","°C","1.671"
"Temperature change","Belgium","Temperature change","January","2003","°C","0.306"
"Temperature change","Belgium","Temperature change","January","2004","°C","1.206"
"Temperature change","Belgium","Temperature change","January","2005","°C","2.465"
"Temperature change","Belgium","Temperature change","January","2006","°C","-0.759"
"Temperature change","Belgium","Temperature change","January","2007","°C","4.693"
"Temperature change","Belgium","Temperature change","January","2008","°C","3.873"
"Temperature change","Belgium","Temperature change","January","2009","°C","-1.678"
"Temperature change","Belgium","Temperature change","January","2010","°C","-2.423"
"Temperature change","Belgium","Temperature change","January","2011","°C","1.515"
"Temperature change","Belgium","Temperature change","January","2012","°C","2.82"
"Temperature change","Belgium","Temperature change","January","2013","°C","0.243"
"Temperature change","Belgium","Temperature change","February","2000","°C","3.076"
"Temperature change","Belgium","Temperature change","February","2001","°C","2.074"
"Temperature change","Belgium","Temperature change","February","2002","°C","4.29"
"Temperature change","Belgium","Temperature change","February","2003","°C","-0.629"
"Temperature change","Belgium","Temperature change","February","2004","°C","1.932"
"Temperature change","Belgium","Temperature change","February","2005","°C","-0.82"
"Temperature change","Belgium","Temperature change","February","2006","°C","-0.339"
"Temperature change","Belgium","Temperature change","February","2007","°C","3.712"
"Temperature change","Belgium","Temperature change","February","2008","°C","2.838"
"Temperature change","Belgium","Temperature change","February","2009","°C","0.448"
"Temperature change","Belgium","Temperature change","February","2010","°C","-0.396"
"Temperature change","Belgium","Temperature change","February","2011","°C","1.963"
"Temperature change","Belgium","Temperature change","February","2012","°C","-2.219"
"Temperature change","Belgium","Temperature change","February","2013","°C","-1.226"
"Temperature change","Belgium","Temperature change","March","2000","°C","1.673"
"Temperature change","Belgium","Temperature change","March","2001","°C","1.102"
"Temperature change","Belgium","Temperature change","March","2002","°C","2.13"
"Temperature change","Belgium","Temperature change","March","2003","°C","2.854"
"Temperature change","Belgium","Temperature change","March","2004","°C","0.605"
"Temperature change","Belgium","Temperature change","March","2005","°C","1.115"
"Temperature change","Belgium","Temperature change","March","2006","°C","-1.191"
"Temperature change","Belgium","Temperature change","March","2007","°C","2.199"
"Temperature change","Belgium","Temperature change","March","2008","°C","0.644"
"Temperature change","Belgium","Temperature change","March","2009","°C","0.83"
"Temperature change","Belgium","Temperature change","March","2010","°C","0.797"
"Temperature change","Belgium","Temperature change","March","2011","°C","1.846"
"Temperature change","Belgium","Temperature change","March","2012","°C","3.261"
"Temperature change","Belgium","Temperature change","March","2013","°C","-2.503"
"Temperature change","Belgium","Temperature change","April","2000","°C","1.809"
"Temperature change","Belgium","Temperature change","April","2001","°C","-0.138"
"Temperature change","Belgium","Temperature change","April","2002","°C","1.172"
"Temperature change","Belgium","Temperature change","April","2003","°C","1.549"
"Temperature change","Belgium","Temperature change","April","2004","°C","1.923"
"Temperature change","Belgium","Temperature change","April","2005","°C","1.978"
"Temperature change","Belgium","Temperature change","April","2006","°C","0.701"
"Temperature change","Belgium","Temperature change","April","2007","°C","4.716"
"Temperature change","Belgium","Temperature change","April","2008","°C","0.324"
"Temperature change","Belgium","Temperature change","April","2009","°C","3.798"
"Temperature change","Belgium","Temperature change","April","2010","°C","1.388"
"Temperature change","Belgium","Temperature change","April","2011","°C","4.719"
"Temperature change","Belgium","Temperature change","April","2012","°C","0.288"
"Temperature change","Belgium","Temperature change","April","2013","°C","0.496"
"Temperature change","Belgium","Temperature change","May","2000","°C","2.461"
"Temperature change","Belgium","Temperature change","May","2001","°C","2.359"
"Temperature change","Belgium","Temperature change","May","2002","°C","1.115"
"Temperature change","Belgium","Temperature change","May","2003","°C","1.608"
"Temperature change","Belgium","Temperature change","May","2004","°C","-0.052"
"Temperature change","Belgium","Temperature change","May","2005","°C","0.845"
"Temperature change","Belgium","Temperature change","May","2006","°C","1.451"
"Temperature change","Belgium","Temperature change","May","2007","°C","2.094"
"Temperature change","Belgium","Temperature change","May","2008","°C","3.34"
"Temperature change","Belgium","Temperature change","May","2009","°C","1.746"
"Temperature change","Belgium","Temperature change","May","2010","°C","-1.22"
"Temperature change","Belgium","Temperature change","May","2011","°C","2.19"
"Temperature change","Belgium","Temperature change","May","2012","°C","2.072"
"Temperature change","Belgium","Temperature change","May","2013","°C","-0.822"
"Temperature change","Belgium","Temperature change","June","2000","°C","1.442"
"Temperature change","Belgium","Temperature change","June","2001","°C","-0.081"
"Temperature change","Belgium","Temperature change","June","2002","°C","1.763"
"Temperature change","Belgium","Temperature change","June","2003","°C","3.747"
"Temperature change","Belgium","Temperature change","June","2004","°C","0.741"
"Temperature change","Belgium","Temperature change","June","2005","°C","1.937"
"Temperature change","Belgium","Temperature change","June","2006","°C","1.592"
"Temperature change","Belgium","Temperature change","June","2007","°C","2.025"
"Temperature change","Belgium","Temperature change","June","2008","°C","1.279"
"Temperature change","Belgium","Temperature change","June","2009","°C","0.495"
"Temperature change","Belgium","Temperature change","June","2010","°C","1.517"
"Temperature change","Belgium","Temperature change","June","2011","°C","1.245"
"Temperature change","Belgium","Temperature change","June","2012","°C","0.279"
"Temperature change","Belgium","Temperature change","June","2013","°C","0.26"
"Temperature change","Belgium","Temperature change","July","2000","°C","-1.242"
"Temperature change","Belgium","Temperature change","July","2001","°C","1.821"
"Temperature change","Belgium","Temperature change","July","2002","°C","0.662"
"Temperature change","Belgium","Temperature change","July","2003","°C","2.335"
"Temperature change","Belgium","Temperature change","July","2004","°C","0.417"
"Temperature change","Belgium","Temperature change","July","2005","°C","1.4"
"Temperature change","Belgium","Temperature change","July","2006","°C","5.356"
"Temperature change","Belgium","Temperature change","July","2007","°C","0.295"
"Temperature change","Belgium","Temperature change","July","2008","°C","1.172"
"Temperature change","Belgium","Temperature change","July","2009","°C","1.422"
"Temperature change","Belgium","Temperature change","July","2010","°C","3.135"
"Temperature change","Belgium","Temperature change","July","2011","°C","-0.721"
"Temperature change","Belgium","Temperature change","July","2012","°C","0.439"
"Temperature change","Belgium","Temperature change","July","2013","°C","2.757"
"Temperature change","Belgium","Temperature change","August","2000","°C","1.462"
"Temperature change","Belgium","Temperature change","August","2001","°C","2.261"
"Temperature change","Belgium","Temperature change","August","2002","°C","1.902"
"Temperature change","Belgium","Temperature change","August","2003","°C","4.134"
"Temperature change","Belgium","Temperature change","August","2004","°C","2.267"
"Temperature change","Belgium","Temperature change","August","2005","°C","-0.173"
"Temperature change","Belgium","Temperature change","August","2006","°C","-0.366"
"Temperature change","Belgium","Temperature change","August","2007","°C","0.236"
"Temperature change","Belgium","Temperature change","August","2008","°C","0.956"
"Temperature change","Belgium","Temperature change","August","2009","°C","2.242"
"Temperature change","Belgium","Temperature change","August","2010","°C","0.354"
"Temperature change","Belgium","Temperature change","August","2011","°C","1.036"
"Temperature change","Belgium","Temperature change","August","2012","°C","2.252"
"Temperature change","Belgium","Temperature change","August","2013","°C","1.617"
"Temperature change","Belgium","Temperature change","September","2000","°C","1.383"
"Temperature change","Belgium","Temperature change","September","2001","°C","-1.328"
"Temperature change","Belgium","Temperature change","September","2002","°C","0.063"
"Temperature change","Belgium","Temperature change","September","2003","°C","0.87"
"Temperature change","Belgium","Temperature change","September","2004","°C","1.185"
"Temperature change","Belgium","Temperature change","September","2005","°C","1.97"
"Temperature change","Belgium","Temperature change","September","2006","°C","3.677"
"Temperature change","Belgium","Temperature change","September","2007","°C","-0.493"
"Temperature change","Belgium","Temperature change","September","2008","°C","-0.94"
"Temperature change","Belgium","Temperature change","September","2009","°C","1.288"
"Temperature change","Belgium","Temperature change","September","2010","°C","-0.52"
"Temperature change","Belgium","Temperature change","September","2011","°C","2.018"
"Temperature change","Belgium","Temperature change","September","2012","°C","0.079"
"Temperature change","Belgium","Temperature change","September","2013","°C","0.416"
"Temperature change","Belgium","Temperature change","October","2000","°C","0.961"
"Temperature change","Belgium","Temperature change","October","2001","°C","3.805"
"Temperature change","Belgium","Temperature change","October","2002","°C","-0.043"
"Temperature change","Belgium","Temperature change","October","2003","°C","-2.253"
"Temperature change","Belgium","Temperature change","October","2004","°C","1.18"
"Temperature change","Belgium","Temperature change","October","2005","°C","3.274"
"Temperature change","Belgium","Temperature change","October","2006","°C","3.46"
"Temperature change","Belgium","Temperature change","October","2007","°C","-0.084"
"Temperature change","Belgium","Temperature change","October","2008","°C","-0.141"
"Temperature change","Belgium","Temperature change","October","2009","°C","0.229"
"Temperature change","Belgium","Temperature change","October","2010","°C","-0.101"
"Temperature change","Belgium","Temperature change","October","2011","°C","1.398"
"Temperature change","Belgium","Temperature change","October","2012","°C","0.245"
"Temperature change","Belgium","Temperature change","October","2013","°C","2.064"
"Temperature change","Belgium","Temperature change","November","2000","°C","1.832"
"Temperature change","Belgium","Temperature change","November","2001","°C","0.223"
"Temperature change","Belgium","Temperature change","November","2002","°C","2.576"
"Temperature change","Belgium","Temperature change","November","2003","°C","2.271"
"Temperature change","Belgium","Temperature change","November","2004","°C","0.456"
"Temperature change","Belgium","Temperature change","November","2005","°C","0.472"
"Temperature change","Belgium","Temperature change","November","2006","°C","2.976"
"Temperature change","Belgium","Temperature change","November","2007","°C","0.312"
"Temperature change","Belgium","Temperature change","November","2008","°C","0.94"
"Temperature change","Belgium","Temperature change","November","2009","°C","3.485"
"Temperature change","Belgium","Temperature change","November","2010","°C","0.476"
"Temperature change","Belgium","Temperature change","November","2011","°C","2.09"
"Temperature change","Belgium","Temperature change","November","2012","°C","1.104"
"Temperature change","Belgium","Temperature change","November","2013","°C","0.517"
"Temperature change","Belgium","Temperature change","December","2000","°C","2.391"
"Temperature change","Belgium","Temperature change","December","2001","°C","-0.763"
"Temperature change","Belgium","Temperature change","December","2002","°C","1.271"
"Temperature change","Belgium","Temperature change","December","2003","°C","0.982"
"Temperature change","Belgium","Temperature change","December","2004","°C","-0.325"
"Temperature change","Belgium","Temperature change","December","2005","°C","-0.005"
"Temperature change","Belgium","Temperature change","December","2006","°C","2.664"
"Temperature change","Belgium","Temperature change","December","2007","°C","0.565"
"Temperature change","Belgium","Temperature change","December","2008","°C","-0.602"
"Temperature change","Belgium","Temperature change","December","2009","°C","-0.436"
"Temperature change","Belgium","Temperature change","December","2010","°C","-4.086"
"Temperature change","Belgium","Temperature change","December","2011","°C","2.739"
"Temperature change","Belgium","Temperature change","December","2012","°C","1.562"
"Temperature change","Belgium","Temperature change","December","2013","°C","2.443"
"Temperature change","Bulgaria","Temperature change","January","2000","°C","-2.536"
"Temperature change","Bulgaria","Temperature change","January","2001","°C","3.178"
"Temperature change","Bulgaria","Temperature change","January","2002","°C","0.097"
"Temperature change","Bulgaria","Temperature change","January","2003","°C","1.598"
"Temperature change","Bulgaria","Temperature change","January","2004","°C","-0.672"
"Temperature change","Bulgaria","Temperature change","January","2005","°C","2.26"
"Temperature change","Bulgaria","Temperature change","January","2006","°C","-1.648"
"Temperature change","Bulgaria","Temperature change","January","2007","°C","5.666"
"Temperature change","Bulgaria","Temperature change","January","2008","°C","-0.194"
"Temperature change","Bulgaria","Temperature change","January","2009","°C","1.422"
"Temperature change","Bulgaria","Temperature change","January","2010","°C","0.177"
"Temperature change","Bulgaria","Temperature change","January","2011","°C","0.796"
"Temperature change","Bulgaria","Temperature change","January","2012","°C","-0.262"
"Temperature change","Bulgaria","Temperature change","January","2013","°C","1.801"
"Temperature change","Bulgaria","Temperature change","February","2000","°C","1.557"
"Temperature change","Bulgaria","Temperature change","February","2001","°C","2.197"
"Temperature change","Bulgaria","Temperature change","February","2002","°C","5.145"
"Temperature change","Bulgaria","Temperature change","February","2003","°C","-4.328"
"Temperature change","Bulgaria","Temperature change","February","2004","°C","0.912"
"Temperature change","Bulgaria","Temperature change","February","2005","°C","-1.988"
"Temperature change","Bulgaria","Temperature change","February","2006","°C","-0.676"
"Temperature change","Bulgaria","Temperature change","February","2007","°C","3.048"
"Temperature change","Bulgaria","Temperature change","February","2008","°C","1.733"
"Temperature change","Bulgaria","Temperature change","February","2009","°C","0.855"
"Temperature change","Bulgaria","Temperature change","February","2010","°C","1.012"
"Temperature change","Bulgaria","Temperature change","February","2011","°C","-0.429"
"Temperature change","Bulgaria","Temperature change","February","2012","°C","-4.509"
"Temperature change","Bulgaria","Temperature change","February","2013","°C","2.552"
"Temperature change","Bulgaria","Temperature change","March","2000","°C","0.97"
"Temperature change","Bulgaria","Temperature change","March","2001","°C","5.023"
"Temperature change","Bulgaria","Temperature change","March","2002","°C","3.292"
"Temperature change","Bulgaria","Temperature change","March","2003","°C","-1.361"
"Temperature change","Bulgaria","Temperature change","March","2004","°C","1.647"
"Temperature change","Bulgaria","Temperature change","March","2005","°C","-0.225"
"Temperature change","Bulgaria","Temperature change","March","2006","°C","1.011"
"Temperature change","Bulgaria","Temperature change","March","2007","°C","2.619"
"Temperature change","Bulgaria","Temperature change","March","2008","°C","3.614"
"Temperature change","Bulgaria","Temperature change","March","2009","°C","0.897"
"Temperature change","Bulgaria","Temperature change","March","2010","°C","1.178"
"Temperature change","Bulgaria","Temperature change","March","2011","°C","0.664"
"Temperature change","Bulgaria","Temperature change","March","2012","°C","1.766"
"Temperature change","Bulgaria","Temperature change","March","2013","°C","1.411"
"Temperature change","Bulgaria","Temperature change","April","2000","°C","2.888"
"Temperature change","Bulgaria","Temperature change","April","2001","°C","0.083"
"Temperature change","Bulgaria","Temperature change","April","2002","°C","-0.465"
"Temperature change","Bulgaria","Temperature change","April","2003","°C","-1.4"
"Temperature change","Bulgaria","Temperature change","April","2004","°C","1.011"
"Temperature change","Bulgaria","Temperature change","April","2005","°C","0.397"
"Temperature change","Bulgaria","Temperature change","April","2006","°C","1.385"
"Temperature change","Bulgaria","Temperature change","April","2007","°C","0.848"
"Temperature change","Bulgaria","Temperature change","April","2008","°C","1.848"
"Temperature change","Bulgaria","Temperature change","April","2009","°C","1.079"
"Temperature change","Bulgaria","Temperature change","April","2010","°C","1.151"
"Temperature change","Bulgaria","Temperature change","April","2011","°C","-0.448"
"Temperature change","Bulgaria","Temperature change","April","2012","°C","2.425"
"Temperature change","Bulgaria","Temperature change","April","2013","°C","2.302"
"Temperature change","Bulgaria","Temperature change","May","2000","°C","1.328"
"Temperature change","Bulgaria","Temperature change","May","2001","°C","0.546"
"Temperature change","Bulgaria","Temperature change","May","2002","°C","1.158"
"Temperature change","Bulgaria","Temperature change","May","2003","°C","3.045"
"Temperature change","Bulgaria","Temperature change","May","2004","°C","-0.877"
"Temperature change","Bulgaria","Temperature change","May","2005","°C","0.908"
"Temperature change","Bulgaria","Temperature change","May","2006","°C","0.608"
"Temperature change","Bulgaria","Temperature change","May","2007","°C","2.265"
"Temperature change","Bulgaria","Temperature change","May","2008","°C","0.753"
"Temperature change","Bulgaria","Temperature change","May","2009","°C","1.498"
"Temperature change","Bulgaria","Temperature change","May","2010","°C","1.17"
"Temperature change","Bulgaria","Temperature change","May","2011","°C","0.048"
"Temperature change","Bulgaria","Temperature change","May","2012","°C","0.936"
"Temperature change","Bulgaria","Temperature change","May","2013","°C","2.827"
"Temperature change","Bulgaria","Temperature change","June","2000","°C","1.162"
"Temperature change","Bulgaria","Temperature change","June","2001","°C","-0.145"
"Temperature change","Bulgaria","Temperature change","June","2002","°C","1.753"
"Temperature change","Bulgaria","Temperature change","June","2003","°C","2.753"
"Temperature change","Bulgaria","Temperature change","June","2004","°C","0.265"
"Temperature change","Bulgaria","Temperature change","June","2005","°C","-0.656"
"Temperature change","Bulgaria","Temperature change","June","2006","°C","0.532"
"Temperature change","Bulgaria","Temperature change","June","2007","°C","3.019"
"Temperature change","Bulgaria","Temperature change","June","2008","°C","1.745"
"Temperature change","Bulgaria","Temperature change","June","2009","°C","1.318"
"Temperature change","Bulgaria","Temperature change","June","2010","°C","0.981"
"Temperature change","Bulgaria","Temperature change","June","2011","°C","0.937"
"Temperature change","Bulgaria","Temperature change","June","2012","°C","2.916"
"Temperature change","Bulgaria","Temperature change","June","2013","°C","1.246"
"Temperature change","Bulgaria","Temperature change","July","2000","°C","2.048"
"Temperature change","Bulgaria","Temperature change","July","2001","°C","2.242"
"Temperature change","Bulgaria","Temperature change","July","2002","°C","2.357"
"Temperature change","Bulgaria","Temperature change","July","2003","°C","1.302"
"Temperature change","Bulgaria","Temperature change","July","2004","°C","0.462"
"Temperature change","Bulgaria","Temperature change","July","2005","°C","0.663"
"Temperature change","Bulgaria","Temperature change","July","2006","°C","0.553"
"Temperature change","Bulgaria","Temperature change","July","2007","°C","3.478"
"Temperature change","Bulgaria","Temperature change","July","2008","°C","1.035"
"Temperature change","Bulgaria","Temperature change","July","2009","°C","1.714"
"Temperature change","Bulgaria","Temperature change","July","2010","°C","1.331"
"Temperature change","Bulgaria","Temperature change","July","2011","°C","1.65"
"Temperature change","Bulgaria","Temperature change","July","2012","°C","4.327"
"Temperature change","Bulgaria","Temperature change","July","2013","°C","0.928"
"Temperature change","Bulgaria","Temperature change","August","2000","°C","1.827"
"Temperature change","Bulgaria","Temperature change","August","2001","°C","2.54"
"Temperature change","Bulgaria","Temperature change","August","2002","°C","0.162"
"Temperature change","Bulgaria","Temperature change","August","2003","°C","2.849"
"Temperature change","Bulgaria","Temperature change","August","2004","°C","0.289"
"Temperature change","Bulgaria","Temperature change","August","2005","°C","0.303"
"Temperature change","Bulgaria","Temperature change","August","2006","°C","1.481"
"Temperature change","Bulgaria","Temperature change","August","2007","°C","2.24"
"Temperature change","Bulgaria","Temperature change","August","2008","°C","2.676"
"Temperature change","Bulgaria","Temperature change","August","2009","°C","1.293"
"Temperature change","Bulgaria","Temperature change","August","2010","°C","3.387"
